symbol,date,close
JINN,2015-06-12,4.81
JINN,2015-06-11,4.70
JINN,2015-06-10,4.72
JINN,2015-06-09,4.53
JINN,2015-06-06,5.08
JINN,2015-06-05,5.10
JINN,2015-06-04,5.01
JINN,2015-06-03,4.08
JINN,2015-06-02,5.10
JINN,2015-06-01,4.74
JINN,2015-05-31,4.92
JINN,2015-05-30,5.20
JINN,2015-05-29,5.48
JINN,2016-07-23,20.10
JINN,2016-07-22,15.90
JINN,2015-05-27,5.36
JINN,2015-05-26,5.23
JINN,2015-05-25,4.57
JINN,2015-05-24,4.19
JINN,2015-05-23,4.76
JINN,2015-05-22,5.46
JINN,2015-09-27,2.89
JINN,2015-09-26,3.37
JINN,2015-05-19,4.81
JINN,2015-09-25,2.82
JINN,2015-09-24,3.27
JINN,2015-02-24,3.64
JINN,2015-02-23,3.66
JINN,2015-02-22,3.23
JINN,2015-02-21,3.11
JINN,2016-07-04,15.69
JINN,2016-07-03,14.94
JINN,2015-05-09,4.15
JINN,2015-05-08,4.33
JINN,2015-05-07,4.15
JINN,2015-01-01,6.20
JINN,2014-12-31,6.49
JINN,2014-12-30,7.35
JINN,2014-12-29,6.43
JINN,2014-12-28,6.09
JINN,2014-12-27,6.26
JINN,2014-12-26,6.86
JINN,2014-12-25,6.31
JINN,2014-12-24,6.87
JINN,2014-12-23,6.88
JINN,2014-12-22,6.55
JINN,2014-12-21,6.51
JINN,2014-12-20,6.40
JINN,2014-12-19,5.76
JINN,2014-12-18,5.40
JINN,2014-12-17,5.62
JINN,2014-12-16,6.09
JINN,2014-12-15,6.17
JINN,2014-12-14,5.62
JINN,2014-12-13,6.31
JINN,2014-12-12,6.00
JINN,2014-12-11,6.41
JINN,2014-12-10,5.86
JINN,2014-12-09,5.99
JINN,2014-12-08,6.19
JINN,2014-12-07,6.57
JINN,2014-12-06,6.53
JINN,2014-12-05,6.43
JINN,2014-12-04,6.38
JINN,2014-11-20,4.44
JINN,2015-02-09,3.49
JINN,2015-09-23,3.07
JINN,2015-09-22,2.78
JINN,2015-01-09,10.64
JINN,2015-01-08,5.25
JINN,2015-02-20,3.43
JINN,2014-10-16,6.49
JINN,2014-10-15,6.01
JINN,2014-11-24,5.36
JINN,2014-11-23,5.34
JINN,2014-11-22,4.80
JINN,2014-11-21,4.88
JINN,2014-11-07,5.16
JINN,2014-11-06,5.27
JINN,2015-02-08,3.41
JINN,2015-02-07,3.54
JINN,2015-02-06,3.30
JINN,2014-11-15,5.31
JINN,2014-11-14,5.46
JINN,2014-11-13,5.77
JINN,2014-11-12,6.12
JINN,2014-11-11,5.73
JINN,2014-11-10,5.72
JINN,2014-11-09,5.50
JINN,2014-11-08,4.95
JINN,2015-02-27,4.05
JINN,2015-02-10,3.22
JINN,2014-11-05,5.21
JINN,2014-11-04,4.77
JINN,2014-11-03,4.78
JINN,2014-11-02,4.63
JINN,2014-11-01,4.38
JINN,2014-10-31,4.76
JINN,2014-10-30,5.02
JINN,2014-10-29,5.39
JINN,2014-10-28,5.14
JINN,2015-03-01,4.00
JINN,2015-02-28,3.94
JINN,2015-02-11,3.00
JINN,2015-01-28,4.10
JINN,2015-09-11,2.12
JINN,2015-09-10,2.13
JINN,2015-09-09,2.11
JINN,2015-09-08,2.13
JINN,2015-09-21,2.37
JINN,2015-01-07,6.07
JINN,2015-01-06,5.92
JINN,2015-01-05,5.75
JINN,2014-10-14,7.39
JINN,2015-02-13,3.26
JINN,2015-02-12,3.07
JINN,2015-01-29,3.81
JINN,2015-09-13,1.93
JINN,2015-01-27,4.00
JINN,2015-01-26,4.20
JINN,2015-10-06,3.11
JINN,2015-10-05,3.43
JINN,2015-02-05,3.32
JINN,2015-02-04,3.28
JINN,2015-02-03,3.33
JINN,2015-02-02,3.55
JINN,2015-02-01,3.78
JINN,2015-01-31,3.63
JINN,2015-01-30,3.58
JINN,2015-01-02,6.89
JINN,2015-08-27,2.12
JINN,2015-09-12,2.10
JINN,2014-10-10,4.95
JINN,2014-10-09,5.83
JINN,2014-10-08,4.87
JINN,2015-10-04,3.57
JINN,2015-10-03,2.73
JINN,2015-10-02,2.69
JINN,2015-10-01,2.31
JINN,2015-09-30,2.37
JINN,2015-09-29,2.41
JINN,2015-09-28,2.76
JINN,2015-08-28,1.99
JINN,2014-10-13,5.23
JINN,2015-08-26,1.96
JINN,2015-08-25,1.94
JINN,2015-08-24,1.73
JINN,2015-08-23,1.87
JINN,2014-10-07,5.42
JINN,2015-09-07,2.12
JINN,2015-09-20,2.25
JINN,2015-09-19,1.96
JINN,2015-02-19,3.23
JINN,2015-01-04,4.82
JINN,2015-01-03,6.74
JINN,2015-03-02,4.14
JINN,2015-05-13,3.91
JINN,2014-10-12,5.37
JINN,2014-10-11,5.22
JINN,2015-05-10,3.96
JINN,2015-09-04,2.05
JINN,2015-08-22,2.21
JINN,2015-08-21,2.20
JINN,2015-09-05,2.04
JINN,2015-09-16,1.89
JINN,2015-09-03,2.00
JINN,2015-08-30,1.98
JINN,2015-08-29,2.09
JINN,2015-05-11,4.02
JINN,2015-08-19,2.13
JINN,2015-09-15,1.91
JINN,2015-09-14,1.95
JINN,2015-08-20,2.08
JINN,2015-05-14,3.98
JINN,2015-05-16,4.03
JINN,2015-09-18,2.06
JINN,2015-09-17,1.90
JINN,2014-10-06,5.81
JINN,2015-05-17,4.01
JINN,2014-10-04,7.73
JINN,2015-05-12,4.02
JINN,2015-05-15,4.17
JINN,2014-10-05,7.03
JINN,2014-10-03,6.61
JINN,2015-05-28,5.35
XMR,2017-11-06,102.92
XMR,2017-11-05,86.35
XMR,2017-11-04,87.30
XMR,2017-11-03,87.99
XMR,2017-11-02,83.76
XMR,2017-11-01,85.72
XMR,2017-10-31,87.64
XMR,2017-10-30,88.84
XMR,2017-10-29,88.65
XMR,2017-10-28,86.31
XMR,2017-10-27,86.75
XMR,2017-10-26,88.58
XMR,2017-10-25,88.13
XMR,2017-10-24,88.40
XMR,2017-10-23,85.21
XMR,2017-10-22,86.58
XMR,2017-10-21,88.12
XMR,2017-10-20,90.54
XMR,2017-10-19,88.62
XMR,2017-10-18,89.54
XMR,2017-10-17,91.28
XMR,2017-10-16,95.90
XMR,2017-10-15,94.87
XMR,2017-10-14,100.23
XMR,2017-10-13,95.13
XMR,2017-10-12,87.09
